d_m_Y_H_M_S,Temperature1,Temperature2
03_07_2020_00_00_00,0.479425538604203,0.8775825618903728
03_07_2020_00_00_10,0.47947632382926864,0.877554815887401
03_07_2020_00_00_20,0.4795271074485777,0.8775270669455161
03_07_2020_00_00_30,0.4795778894619603,0.8774993150648106
03_07_2020_00_00_40,0.47962866986924607,0.8774715602453779
03_07_2020_00_00_50,0.4796794486702653,0.8774438024873105
03_07_2020_00_01_00,0.47973022586484776,0.8774160417907015
03_07_2020_00_01_10,0.47978100145282326,0.8773882781556441
03_07_2020_00_01_20,0.479831775434022,0.877360511582231
03_07_2020_00_01_30,0.4798825478082738,0.8773327420705554
03_07_2020_00_01_40,0.47993331857540866,0.8773049696207103
03_07_2020_00_01_50,0.4799840877352565,0.8772771942327884
03_07_2020_00_02_00,0.48003485528764744,0.877249415906883
03_07_2020_00_02_10,0.4800856212324114,0.877221634643087
03_07_2020_00_02_20,0.48013638556937815,0.8771938504414936
03_07_2020_00_02_30,0.480187148298378,0.8771660633021957
03_07_2020_00_02_40,0.4802379094192407,0.8771382732252864
03_07_2020_00_02_50,0.48028866893179645,0.8771104802108587
03_07_2020_00_03_00,0.4803394268358752,0.8770826842590058
03_07_2020_00_03_10,0.4803901831313068,0.8770548853698208
03_07_2020_00_03_20,0.4804409378179215,0.8770270835433966
03_07_2020_00_03_30,0.48049169089554916,0.8769992787798266
03_07_2020_00_03_40,0.48054244236401994,0.8769714710792037
03_07_2020_00_03_50,0.48059319222316366,0.8769436604416211
03_07_2020_00_04_00,0.48064394047281067,0.8769158468671718
03_07_2020_00_04_10,0.4806946871127908,0.8768880303559492
03_07_2020_00_04_20,0.4807454321429341,0.8768602109080463
03_07_2020_00_04_30,0.4807961755630707,0.8768323885235564
03_07_2020_00_04_40,0.4808469173730306,0.8768045632025725
03_07_2020_00_04_50,0.48089765757264397,0.8767767349451878
03_07_2020_00_05_00,0.48094839616174084,0.8767489037514955
03_07_2020_00_05_10,0.48099913314015114,0.876721069621589
03_07_2020_00_05_20,0.4810498685077052,0.8766932325555613
03_07_2020_00_05_30,0.4811006022642329,0.8766653925535057
03_07_2020_00_05_40,0.4811513344095645,0.8766375496155155
03_07_2020_00_05_50,0.4812020649435299,0.8766097037416839
03_07_2020_00_06_00,0.4812527938659594,0.876581854932104
03_07_2020_00_06_10,0.48130352117668307,0.8765540031868694
03_07_2020_00_06_20,0.48135424687553086,0.8765261485060731
03_07_2020_00_06_30,0.48140497096233315,0.8764982908898084
03_07_2020_00_06_40,0.4814556934369198,0.8764704303381687
03_07_2020_00_06_50,0.4815064142991212,0.8764425668512472
03_07_2020_00_07_00,0.48155713354876734,0.8764147004291374
03_07_2020_00_07_10,0.48160785118568833,0.8763868310719325
03_07_2020_00_07_20,0.4816585672097144,0.8763589587797257
03_07_2020_00_07_30,0.4817092816206756,0.8763310835526106
03_07_2020_00_07_40,0.4817599944184023,0.8763032053906804
03_07_2020_00_07_50,0.4818107056027245,0.8762753242940284
03_07_2020_00_08_00,0.4818614151734723,0.8762474402627483
03_07_2020_00_08_10,0.48191212313047604,0.876219553296933
03_07_2020_00_08_20,0.4819628294735658,0.8761916633966763
03_07_2020_00_08_30,0.4820135342025718,0.8761637705620714
03_07_2020_00_08_40,0.48206423731732423,0.8761358747932118
03_07_2020_00_08_50,0.4821149388176533,0.8761079760901909
03_07_2020_00_09_00,0.48216563870338924,0.876080074453102
